objectid,parentid,filename,title,format,filesize,date,description,destinations,location,latitude,longitude,type,language,rights,rightsstatement
hazel006transcript,hazel006journal,hazel006transcript.pdf,Transcription of 1959 North and South Dakota Trip,application/pdf,16 KB,,,,,,,Text,eng,This material may be used for educational purposes only. Educational use includes non-commercial use of text and images in materials for teaching and research purposes only. ,http://rightsstatements.org/vocab/InC-EDU/1.0/
hazel007transcript,hazel007journal,hazel007transcript.pdf,Transcription of 1960 Red Oak Election Outing,application/pdf,16 KB,,,,,,,Text,eng,This material may be used for educational purposes only. Educational use includes non-commercial use of text and images in materials for teaching and research purposes only. ,http://rightsstatements.org/vocab/InC-EDU/1.0/
hazel008transcript,hazel008journal,hazel008transcript.pdf,Transcription of 1961 Omaha Christmas Outing,application/pdf,16 KB,,,,,,,Text,eng,This material may be used for educational purposes only. Educational use includes non-commercial use of text and images in materials for teaching and research purposes only. ,http://rightsstatements.org/vocab/InC-EDU/1.0/
hazel009transcript,hazel009journal,hazel009transcript.pdf,Transcription of 1962 South Central US Trip,application/pdf,16 KB,,,,,,,Text,eng,This material may be used for educational purposes only. Educational use includes non-commercial use of text and images in materials for teaching and research purposes only. ,http://rightsstatements.org/vocab/InC-EDU/1.0/
hazel010transcript,hazel010journal,hazel010transcript.pdf,Transcription of 1963 Iowa and Wisconsin Trip,application/pdf,16 KB,,,,,,,Text,eng,This material may be used for educational purposes only. Educational use includes non-commercial use of text and images in materials for teaching and research purposes only. ,http://rightsstatements.org/vocab/InC-EDU/1.0/
hazel011transcript,hazel011journal,hazel011transcript.pdf,Transcription of 1964 Red Oak Errands Outing,application/pdf,16 KB,,,,,,,Text,eng,This material may be used for educational purposes only. Educational use includes non-commercial use of text and images in materials for teaching and research purposes only. ,http://rightsstatements.org/vocab/InC-EDU/1.0/
hazel012transcript,hazel012journal,hazel012transcript.pdf,Transcription of 1969 Midwestern US Trip,application/pdf,16 KB,,,,,,,Text,eng,This material may be used for educational purposes only. Educational use includes non-commercial use of text and images in materials for teaching and research purposes only. ,http://rightsstatements.org/vocab/InC-EDU/1.0/
hazel013transcript,hazel013journal,hazel013transcript.pdf,Transcription of 1972 Winter in Texas and Mexico Trip,application/pdf,16 KB,,,,,,,Text,eng,This material may be used for educational purposes only. Educational use includes non-commercial use of text and images in materials for teaching and research purposes only. ,http://rightsstatements.org/vocab/InC-EDU/1.0/
hazel014transcript,hazel014journal,hazel014transcript.pdf,Transcription of 1974 Winter in Texas Trip,application/pdf,16 KB,,,,,,,Text,eng,This material may be used for educational purposes only. Educational use includes non-commercial use of text and images in materials for teaching and research purposes only. ,http://rightsstatements.org/vocab/InC-EDU/1.0/
hazel015transcript,hazel015journal,hazel015transcript.pdf,Transcription of 1977 Wisconsin and Illinois Trip,application/pdf,16 KB,,,,,,,Text,eng,This material may be used for educational purposes only. Educational use includes non-commercial use of text and images in materials for teaching and research purposes only. ,http://rightsstatements.org/vocab/InC-EDU/1.0/
